regime,delta_tail,family,R_w
erm_softclip_p95_a10_cam,5.501472663879395,SoftClip,0.2003701458870692
erm_softclip_p97_a10_cam,5.155058956146241,SoftClip,0.2648392430709828
erm_softclip_p99_a10_cam,1.764522671699524,SoftClip,0.605171844264483
erm_labelsmooth_e02_cam,-1.0457141160964962,LabelSmooth,1.0783407050874203
erm_labelsmooth_e05_cam,-1.7675249159336088,LabelSmooth,1.1641273735003297
erm_labelsmooth_e10_cam,-2.4443443834781644,LabelSmooth,1.2857869217085725
erm_labelsmooth_e20_cam,-3.2708490312099454,LabelSmooth,1.499094452061146
erm_focal_g1_cam,-2.4350633621215816,Focal,2.417350728218025
erm_focal_g2_cam,-3.341920471191406,Focal,4.100012276663106
erm_focal_g4_cam,-4.113488879799842,Focal,7.4850667715274515
